City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
632,dongzhen,CN,22.3797,110.9389,77.61,86,76,5.5,
633,alexandria,EG,31.2156,29.9553,73.36,78,0,3.44,
634,sangar,RU,63.9242,127.4739,48.15,94,100,9.93,
635,marzuq,YE,14.4,46.4667,81.86,41,96,3.44,
636,ongwediva,NA,-17.7833,15.7667,58.87,27,0,9.66,
637,doka,SD,13.5167,35.7667,84.87,48,69,10.89,
638,bijapur,IN,16.8333,75.7,74.57,81,71,17.83,
639,mugumu,TZ,-1.85,34.7,61.66,86,88,4.74,
640,moranbah,AU,-22.0016,148.0466,57.58,29,27,7.16,
641,liverpool,GB,53.4106,-2.9779,61.09,73,99,1.01,
642,envira,BR,-7.3,-70.2167,81.01,75,13,1.97,
643,harper,LR,4.375,-7.7169,77.54,87,87,3.56,
644,port macquarie,AU,-31.4333,152.9167,49.89,73,35,4.68,
645,batouri,CM,4.4333,14.3667,68.81,96,100,2.48,
646,remanso,BR,-9.6179,-42.0831,79.14,52,44,1.16,
647,princeton,US,25.5384,-80.4089,88.02,72,1,5.75,
648,tecoanapa,MX,16.5167,-98.75,81.32,76,97,6.53,
649,aranos,NA,-24.1333,19.1167,57.72,36,0,13.51,
650,vostok,RU,46.4856,135.8833,56.8,98,100,2.44,
651,vao,NC,-22.6667,167.4833,72.64,75,100,16.15,
652,pangkalanbuun,ID,-2.6833,111.6167,72.19,98,43,1.1,
653,antofagasta,CL,-23.65,-70.4,61.12,83,14,4.14,
654,acapulco,MX,16.8634,-99.8901,83.93,70,93,10.13,
655,nicoya,CR,10.1483,-85.452,82.6,78,85,3.8,
656,bubaque,GW,11.2833,-15.8333,80.17,82,100,12.91,
657,horn lake,US,34.9554,-90.0348,90.32,70,23,4.0,
658,tirano,IT,46.2154,10.1679,65.32,73,14,6.69,
659,santa vitoria,BR,-18.8386,-50.1214,70.95,70,87,5.53,
660,labytnangi,RU,66.6572,66.4183,56.59,73,100,10.11,
661,buala,SB,-8.145,159.5921,82.38,76,72,12.86,
662,oranjestad,AW,12.524,-70.027,84.9,75,89,8.99,
663,port augusta,AU,-32.5,137.7667,43.7,85,52,5.5,
664,tautira,PF,-17.7333,-149.15,78.82,82,100,10.4,
665,point fortin,TT,10.1833,-61.6833,82.89,74,98,5.95,
666,panlaitan,PH,12.1191,119.8486,82.35,77,100,5.84,
667,tukrah,LY,32.5341,20.5791,70.7,76,0,6.31,
668,oranjemund,NA,-28.55,16.4333,62.73,50,79,3.06,
669,hong gai,VN,20.956,107.0946,80.51,91,99,4.61,
670,rodrigues alves,BR,-7.738,-72.6509,75.13,94,89,0.25,
671,la plata,AR,-34.9215,-57.9545,57.94,58,100,9.31,
672,bredy,RU,52.4153,60.3411,59.92,48,94,12.37,
673,arlit,NE,18.7369,7.3853,93.4,11,0,9.91,
674,kamina,CD,-8.7386,24.9906,62.64,57,1,3.36,
675,biak,ID,-0.9131,122.8766,76.35,81,28,4.5,
676,matay,EG,28.419,30.7792,86.88,23,0,7.47,
677,fort-shevchenko,KZ,44.5086,50.263,73.04,73,78,11.54,
678,nemuro,JP,43.3236,145.575,54.1,93,100,17.18,
679,batemans bay,AU,-35.7167,150.1833,52.2,66,77,7.47,
680,bluff,NZ,-46.6,168.3333,44.24,81,3,6.85,clear sky
681,atuona,PF,-9.8,-139.0333,79.9,73,36,18.07,light rain
682,plouzane,FR,48.3833,-4.6167,60.89,94,90,4.61,overcast clouds
683,port alfred,ZA,-33.5906,26.891,68.32,49,38,9.31,scattered clouds
684,ushuaia,AR,-54.8,-68.3,38.86,81,0,3.44,clear sky
685,punta arenas,CL,-53.15,-70.9167,41.11,87,75,9.22,light rain
686,atlantis,ZA,-33.5667,18.4834,60.19,64,100,4.36,overcast clouds
687,norman wells,CA,65.282,-126.8329,64.44,52,90,4.61,light rain
688,severo-kurilsk,RU,50.6789,156.125,49.6,77,100,7.94,overcast clouds
689,raudeberg,NO,61.9875,5.1352,50.86,95,96,12.64,overcast clouds
690,avera,US,33.194,-82.5271,87.67,56,80,13.06,broken clouds
691,olinda,BR,-8.0089,-34.8553,76.73,73,40,12.66,scattered clouds
692,upernavik,GL,72.7868,-56.1549,35.29,92,36,12.12,scattered clouds
693,zhangjiakou,CN,40.81,114.8794,68.31,34,51,3.13,broken clouds
694,mataura,NZ,-46.1927,168.8643,41.54,85,1,3.15,clear sky
695,caravelas,BR,-17.7125,-39.2481,73.11,81,89,6.49,overcast clouds
696,lasa,IT,46.6166,10.7002,58.37,94,32,5.48,scattered clouds
697,albany,US,42.6001,-73.9662,66.72,71,100,1.34,overcast clouds
698,coquimbo,CL,-29.9533,-71.3436,55.13,87,0,10.36,clear sky
699,cauas,RO,47.5667,22.55,64.45,76,76,4.16,broken clouds
700,hamilton,US,39.1834,-84.5333,87.04,86,75,3.0,broken clouds
701,mar del plata,AR,-38.0023,-57.5575,55.09,66,0,11.99,clear sky
702,thompson,CA,55.7435,-97.8558,68.16,45,90,11.5,overcast clouds
703,springbok,ZA,-29.6643,17.8865,59.2,26,89,5.23,overcast clouds
704,sibolga,ID,1.7427,98.7792,76.75,87,81,3.27,broken clouds
705,havre-saint-pierre,CA,50.2334,-63.5986,53.96,54,75,20.71,broken clouds
706,longyearbyen,SJ,78.2186,15.6401,27.19,88,21,2.37,few clouds
707,dikson,RU,73.5069,80.5464,31.95,99,100,4.74,overcast clouds
708,sukumo,JP,32.9333,132.7333,71.19,94,100,5.77,light rain
709,barrow,US,71.2906,-156.7887,35.62,80,90,13.8,overcast clouds
710,vaini,TO,-21.2,-175.2,75.36,69,20,11.5,few clouds
711,bethel,US,41.3712,-73.414,76.35,50,46,6.69,scattered clouds
712,port hardy,CA,50.6996,-127.4199,59.18,63,75,24.16,broken clouds
713,avarua,CK,-21.2078,-159.775,71.65,83,90,9.22,light rain
714,husavik,IS,66.0449,-17.3389,37.31,98,100,27.47,overcast clouds
715,cidreira,BR,-30.1811,-50.2056,55.53,57,37,10.74,scattered clouds
716,cape town,ZA,-33.9258,18.4232,62.11,78,0,5.75,clear sky
717,hermanus,ZA,-34.4187,19.2345,61.9,67,100,2.13,overcast clouds
718,jamestown,US,42.097,-79.2353,79.84,75,27,7.0,light rain
719,hami,CN,42.8,93.45,78.06,31,100,13.18,overcast clouds
720,diego de almagro,CL,-26.3667,-70.05,65.8,23,0,5.41,clear sky
721,deputatskiy,RU,69.3,139.9,53.26,42,75,6.64,broken clouds
722,qaanaaq,GL,77.484,-69.3632,39.88,74,94,4.88,overcast clouds
723,yar-sale,RU,66.8333,70.8333,54.61,73,100,12.77,overcast clouds
724,rikitea,PF,-23.1203,-134.9692,76.14,84,99,11.5,overcast clouds
725,georgetown,MY,5.4112,100.3354,80.89,91,20,3.0,light rain
726,kodiak,US,57.79,-152.4072,51.24,76,79,2.73,broken clouds
727,eydhafushi,MV,5.1033,73.0708,82.26,76,56,13.96,broken clouds
728,westport,US,41.1415,-73.3579,74.68,77,63,8.01,broken clouds
729,kapaa,US,22.0752,-159.319,85.98,68,46,5.99,scattered clouds
730,omsukchan,RU,62.5333,155.8,42.73,66,68,4.9,broken clouds
731,gramsh,AL,40.8697,20.1844,60.6,86,4,5.28,clear sky
732,svetlogorsk,BY,52.6333,29.7333,55.18,91,1,2.91,clear sky
733,grindavik,IS,63.8424,-22.4338,42.75,56,20,31.07,few clouds
734,east london,ZA,-33.0153,27.9116,69.06,44,58,7.58,broken clouds
735,busselton,AU,-33.65,115.3333,50.09,86,82,5.1,broken clouds
736,cabo san lucas,MX,22.8909,-109.9124,98.82,58,8,8.05,clear sky
737,griffith,US,41.5284,-87.4237,92.08,51,1,5.75,clear sky
738,butaritari,KI,3.0707,172.7902,82.36,74,100,13.58,moderate rain
739,rosarito,MX,32.3333,-117.0333,89.4,60,8,8.97,clear sky
740,tiksi,RU,71.6872,128.8694,47.88,66,100,8.77,overcast clouds
741,ambilobe,MG,-13.2,49.05,70.39,83,26,1.68,scattered clouds
742,saint-philippe,RE,-21.3585,55.7679,72.99,80,98,15.41,light rain
743,hobart,AU,-42.8794,147.3294,57.02,96,75,1.01,broken clouds
744,nome,US,64.5011,-165.4064,48.16,84,100,7.14,overcast clouds
745,bakchar,RU,57.0186,82.0711,40.03,79,13,3.6,few clouds
746,jiazi,CN,22.8779,116.067,79.27,88,70,10.45,broken clouds
747,aksarka,RU,66.5606,67.7975,57.67,73,100,12.86,overcast clouds
748,ilulissat,GL,69.2167,-51.1,37.49,79,98,0.83,overcast clouds
749,faanui,PF,-16.4833,-151.75,74.64,92,100,17.98,heavy intensity rain
750,puerto ayora,EC,-0.7393,-90.3518,80.56,89,88,8.99,overcast clouds
751,sao filipe,CV,14.8961,-24.4956,72.68,88,73,5.32,broken clouds
752,souillac,MU,-20.5167,57.5167,75.36,78,40,14.97,scattered clouds
753,makakilo city,US,21.3469,-158.0858,79.61,70,90,8.05,light rain
754,xining,CN,36.6167,101.7667,54.48,61,36,2.91,scattered clouds
755,monduli,TZ,-3.3,36.45,55.81,80,1,5.46,clear sky
756,ponta do sol,PT,32.6667,-17.1,74.03,50,0,5.84,clear sky
757,klaksvik,FO,62.2266,-6.589,49.12,86,99,25.03,overcast clouds
758,nishihara,JP,26.1842,127.7558,79.88,94,20,3.44,few clouds
759,talnakh,RU,69.4865,88.3972,34.03,100,100,4.21,light rain
760,hajnowka,PL,52.7433,23.5812,58.78,78,1,1.01,clear sky
761,khon buri,TH,14.5254,102.2459,74.89,88,100,4.5,overcast clouds
762,tura,IN,25.5198,90.2201,73.4,97,100,3.85,overcast clouds
763,ginir,ET,7.1333,40.7,57.09,90,58,6.46,broken clouds
764,castro,BR,-24.7911,-50.0119,52.97,91,11,1.95,few clouds
765,khatanga,RU,71.9667,102.5,38.37,63,80,3.8,broken clouds
766,korla,CN,41.7597,86.1469,72.36,35,89,3.53,overcast clouds
767,new norfolk,AU,-42.7826,147.0587,56.66,88,90,1.01,overcast clouds
768,cayenne,GF,4.9333,-52.3333,76.08,90,0,0.0,clear sky
769,chuy,UY,-33.6971,-53.4616,47.68,71,100,7.85,overcast clouds
770,ust-kut,RU,56.7938,105.7672,44.42,58,31,1.86,scattered clouds
